qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,n,sparsity
111,134920.0,20.0,26.88,150848.76,864.24,15928.76,20.58,44.0,44.0,0.004002809524536133,2.4776597023010254,0.04096841812133789,0.026999235153198242,0.001983165740966797,2,0.0
111,149560.0,20.0,34.2,165322.36,782.64,15762.36,20.58,1.0,1.0,0.0020051002502441406,2.0999248027801514,0.03621268272399902,0.027459383010864258,0.001046895980834961,3,0.0
111,168200.0,20.0,43.52,184128.36,650.64,15928.36,20.58,1.0,1.0,0.002111196517944336,2.119497299194336,0.034743547439575195,0.028106212615966797,0.0009996891021728516,4,0.0
111,157440.0,20.0,38.14,173202.76,1041.24,15762.76,20.58,1.0,1.0,0.002991199493408203,2.027050733566284,0.03384065628051758,0.029897212982177734,0.0,5,0.0
111,181480.0,20.0,50.16,197408.76,631.24,15928.76,20.58,1.0,1.0,0.0029993057250976562,1.913743495941162,0.03250885009765625,0.03200030326843262,0.0009882450103759766,6,0.0
111,179680.0,20.0,49.26,195443.56,1432.44,15763.56,20.58,1.0,1.0,0.003078937530517578,2.0497753620147705,0.03899955749511719,0.039510250091552734,0.0009996891021728516,7,0.0
111,246880.0,20.0,82.86,262808.76,632.24,15928.76,20.58,89.0,89.0,0.0029985904693603516,2.001823663711548,0.042105674743652344,0.0444951057434082,0.0009999275207519531,8,0.0
111,217440.0,20.0,68.14,233201.96,137211.04,15761.96,20.58,1.0,1.0,0.004995822906494141,2.0129847526550293,0.28258466720581055,0.05499863624572754,0.0,9,0.0
111,214000.0,20.0,66.42,229761.96,1186.04,15761.96,20.58,1.0,1.0,0.004998683929443359,2.2876768112182617,0.0480036735534668,0.0617222785949707,0.0009984970092773438,10,0.0
111,195440.0,20.0,57.14,211368.76,929.24,15928.76,20.58,1.0,1.0,0.0060536861419677734,1.9031639099121094,0.04000377655029297,0.07993793487548828,0.0009388923645019531,11,0.0
111,190560.0,20.0,54.7,206488.36,1249.64,15928.36,20.58,1.0,1.0,0.004506111145019531,2.2708444595336914,0.034945011138916016,0.08887958526611328,0.0,12,0.0
111,324400.0,20.0,121.62,340162.36,1718.64,15762.36,20.58,35.0,35.0,0.005997896194458008,1.8897664546966553,0.03800034523010254,0.10051798820495605,0.0009918212890625,13,0.0
111,318680.0,20.0,118.76,334442.76,1365.24,15762.76,20.58,43.0,43.0,0.005956411361694336,3.3199448585510254,0.03710341453552246,0.11123275756835938,0.0009617805480957031,14,0.0
111,170880.0,20.0,44.86,186808.76,980.24,15928.76,20.58,1.0,1.0,0.007109403610229492,2.1657235622406006,0.03599834442138672,0.14524006843566895,0.0,15,0.0
111,167760.0,20.0,43.3,183688.36,1195.64,15928.36,20.58,1.0,1.0,0.008010387420654297,1.8859875202178955,0.04153180122375488,0.1685166358947754,0.002003192901611328,16,0.0
