seed,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,problem_formulation_time,connection_time,embedding_time,response_time,sample_fetch_time,n,sparsity
222,143840.0,20.0,31.34,159599.96,753.04,15759.96,20.58,1.0,1.0,0.003999948501586914,2.4216864109039307,0.04474234580993652,0.028115272521972656,0.0009980201721191406,2,0.0
222,171600.0,20.0,45.22,187527.16,603.84,15927.16,20.58,1.0,1.0,0.0030312538146972656,1.9919250011444092,0.03455090522766113,0.026281118392944336,0.001007080078125,3,0.0
222,169200.0,20.0,44.02,184959.96,776.04,15759.96,20.58,1.0,1.0,0.003086566925048828,2.0278332233428955,0.03622603416442871,0.028336524963378906,0.0016515254974365234,4,0.0
222,158040.0,20.0,38.44,173967.16,719.84,15927.16,20.58,1.0,1.0,0.0020058155059814453,2.1100103855133057,0.035468339920043945,0.03221869468688965,0.0009987354278564453,5,0.0
222,196080.0,20.0,57.46,211839.96,1387.04,15759.96,20.58,1.0,1.0,0.0025026798248291016,1.9866726398468018,0.037050485610961914,0.03655266761779785,0.0010182857513427734,6,0.0
222,192680.0,20.0,55.76,208607.16,779.84,15927.16,20.58,1.0,1.0,0.0028181076049804688,2.2890193462371826,0.03825187683105469,0.04078102111816406,0.0010006427764892578,7,0.0
222,214640.0,20.0,66.74,230400.36,1091.64,15760.36,20.58,1.0,1.0,0.002993345260620117,2.041555404663086,0.03732943534851074,0.04383039474487305,0.0,8,0.0
222,194920.0,20.0,56.88,210847.16,782.84,15927.16,20.58,1.0,1.0,0.004512786865234375,2.108668327331543,0.04143571853637695,0.054076194763183594,0.0010254383087158203,9,0.0
222,223120.0,20.0,70.98,238880.36,1353.64,15760.36,20.58,1.0,1.0,0.004015445709228516,2.0223562717437744,0.03883862495422363,0.06038928031921387,0.0005049705505371094,10,0.0
222,191400.0,20.0,55.12,207326.76,1751.24,15926.76,20.58,1.0,1.0,0.005522012710571289,2.133977174758911,0.03558039665222168,0.07359886169433594,0.0009982585906982422,11,0.0
222,193720.0,20.0,56.28,209647.16,15536.84,15927.16,20.58,1.0,1.0,0.0055124759674072266,2.3356940746307373,0.036788225173950195,0.11175131797790527,0.001024484634399414,12,0.0
222,206080.0,20.0,62.46,221840.36,1416.64,15760.36,20.58,1.0,1.0,0.006506681442260742,2.1512231826782227,0.04017519950866699,0.11263728141784668,0.0009777545928955078,13,0.0
222,207440.0,20.0,63.14,223199.96,1185.04,15759.96,20.58,51.0,51.0,0.006508350372314453,2.0402467250823975,0.03864264488220215,0.1355135440826416,0.001062154769897461,14,0.0
222,194200.0,20.0,56.52,210127.16,9432.84,15927.16,20.58,60.0,60.0,0.007706403732299805,1.8992352485656738,0.03653240203857422,0.18469619750976562,0.0009827613830566406,15,0.0
222,355960.0,20.0,137.4,371719.96,1339.04,15759.96,20.58,1.0,1.0,0.007521390914916992,2.053645372390747,0.04080486297607422,0.19359087944030762,0.0010571479797363281,16,0.0
222,259360.0,20.0,89.1,275287.56,1613.44,15927.56,20.58,1.0,1.0,0.0077397823333740234,2.4568145275115967,0.039051055908203125,0.23772048950195312,0.0,17,0.0
222,203760.0,20.0,61.3,219519.56,2308.44,15759.56,20.58,1.0,1.0,0.009512901306152344,2.059023141860962,0.04036307334899902,0.2815089225769043,0.0,18,0.0
222,232480.0,20.0,75.66,248239.96,1749.04,15759.96,20.58,1.0,1.0,0.010566234588623047,2.3555593490600586,0.039788007736206055,0.23110318183898926,0.001001119613647461,19,0.0
222,205920.0,20.0,62.38,221847.16,1800.84,15927.16,20.58,30.0,30.0,0.010020971298217773,2.0461628437042236,0.041678428649902344,0.2637927532196045,0.0010187625885009766,20,0.0
222,215480.0,20.0,67.16,231406.76,1399.24,15926.76,20.58,1.0,1.0,0.011507511138916016,2.1299803256988525,0.038568735122680664,0.3283572196960449,0.001088857650756836,21,0.0
222,240800.0,20.0,79.82,256561.16,3131.84,15761.16,20.58,61.0,61.0,0.013512611389160156,2.2041947841644287,0.04655766487121582,0.7902505397796631,0.0010004043579101562,22,0.0
222,163680.0,20.0,41.26,179606.36,1216.64,15926.36,20.58,1.0,1.0,0.015025854110717773,1.900244951248169,0.03622627258300781,0.5574226379394531,0.0,23,0.0
222,180960.0,20.0,49.9,196887.56,12262.44,15927.56,20.58,15.0,15.0,0.015437126159667969,2.026257038116455,0.04198479652404785,0.7862584590911865,0.0,24,0.0
222,227160.0,20.0,73.0,242919.96,2112.04,15759.96,20.58,30.0,30.0,0.015020608901977539,2.159578800201416,0.04005599021911621,0.8490593433380127,0.0010004043579101562,25,0.0
222,220640.0,20.0,69.74,236566.36,1630.64,15926.36,20.58,36.0,36.0,0.018021345138549805,2.1958911418914795,0.06220126152038574,0.8394689559936523,0.0,26,0.0
222,365760.0,20.0,142.3,381519.96,3071.04,15759.96,20.58,1.0,1.0,0.018860340118408203,2.0238823890686035,0.0471956729888916,0.9737486839294434,0.0009992122650146484,27,0.0
222,315720.0,20.0,117.28,331479.56,2234.44,15759.56,20.58,35.0,35.0,0.021087646484375,3.0183346271514893,0.04338216781616211,2.1431872844696045,0.0010161399841308594,28,0.0
222,302240.0,20.0,110.54,318167.96,2381.04,15927.96,20.58,1.0,1.0,0.020683765411376953,1.9908463954925537,0.04351949691772461,1.1953389644622803,0.0011284351348876953,29,0.0
